# ID  RA  DEC  [Fe/H]_K  [Fe/H]_K_e  K_mean  N_ep  Period  A_tot  C_phi  S/N    
  608  17:18:06.80  -34:37:49.4  -1.304  0.039  15.108   118  0.481466  0.357  0.936  74.3
  612  17:18:10.16  -36:03:29.6  -2.164  0.053  15.349    65  0.735008  0.349  0.914  86.1
  613  17:18:12.64  -35:30:29.1  -1.568  0.021  14.777    65  0.603783  0.304  0.927  122.7
  614  17:18:15.41  -35:51:51.3  -1.280  0.027  15.589    66  0.554267  0.350  0.918  59.6
  619  17:18:17.72  -35:18:26.7  -1.384  0.023  15.654    66  0.487874  0.320  0.922  52.4
  622  17:18:20.10  -33:27:00.2  -1.408  0.090  14.381    68  0.598005  0.152  0.920  85.3
  631  17:18:23.94  -35:25:53.2  -1.637  0.120  15.496    62  0.669308  0.292  0.922  67.7
  635  17:18:28.61  -36:30:36.5  -1.560  0.045  15.378    73  0.595430  0.301  0.916  51.3
  637  17:18:29.53  -33:43:37.0  -1.387  0.032  14.173    64  0.668495  0.192  0.942  107.0
  640  17:18:30.36  -35:10:12.5  -0.693  0.095  15.448    65  0.476693  0.296  0.933  45.4
  645  17:18:31.61  -36:20:45.9  -1.120  0.037  14.209   128  0.603452  0.240  0.958  169.2
  646  17:18:31.71  -35:51:35.0  -1.691  0.064  15.771    64  0.531502  0.272  0.949  51.6
  648  17:18:33.61  -31:00:55.3  -1.420  0.175  14.287    69  0.633704  0.096  0.937  51.0
  649  17:18:34.02  -35:57:36.4  -1.639  0.056  15.135    66  0.648289  0.235  0.945  79.5
  652  17:18:35.54  -32:29:28.0  -1.318  0.027  13.876   133  0.467683  0.359  0.962  199.8
  653  17:18:37.20  -33:29:25.9  -1.669  0.057  14.924    69  0.592003  0.353  0.928  84.8
  654  17:18:37.34  -31:45:20.8  -1.485  0.019  14.640    70  0.548532  0.341  0.930  105.2
  655  17:18:39.18  -34:06:08.7  -1.389  0.060  15.753    64  0.570470  0.237  0.933  41.0
  658  17:18:41.12  -32:53:42.5  -1.454  0.035  15.455    64  0.636293  0.295  0.939  63.3
  659  17:18:41.84  -35:28:23.5  -1.408  0.025  15.932    63  0.578631  0.296  0.942  48.1
  663  17:18:44.39  -31:41:02.8  -0.863  0.062  15.067    67  0.540547  0.198  0.939  59.7
  665  17:18:44.71  -31:22:35.9  -1.294  0.036  15.209    69  0.436264  0.342  0.919  73.0
  666  17:18:45.03  -34:44:49.5  -1.255  0.055  15.542    59  0.446297  0.368  0.912  87.9
  672  17:18:48.66  -31:32:01.5  -1.645  0.020  14.251    70  0.599582  0.314  0.928  123.7
  674  17:18:49.92  -35:05:10.8  -1.603  0.055  15.339    64  0.506885  0.320  0.944  55.6
  676  17:18:51.24  -31:16:20.7  -1.445  0.058  14.875    69  0.564373  0.246  0.923  55.8
  677  17:18:51.72  -31:51:20.1  -1.093  0.168  14.984   136  0.437532  0.328  0.951  86.8
  679  17:18:54.61  -32:35:08.9  -1.349  0.105  14.974    69  0.498891  0.277  0.842  81.3
  680  17:18:54.69  -31:47:26.5  -1.295  0.044  14.756    68  0.496531  0.250  0.954  67.9
